,Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
0,1/1/2015,27.3,23.9,32.5,0,0,25.461
1,1/2/2015,27.02,24.5,33.5,0,0,28.972
2,1/3/2015,24.82,22.4,29.9,0,1,30.814
3,1/4/2015,23.98,21.5,28.6,1.2,1,29.799
4,1/5/2015,23.82,21,28.3,0,0,28.9
5,1/6/2015,23.78,20.1,30.5,12.2,0,28.218
6,1/7/2015,24,19.5,33.7,0,0,29.732
7,1/8/2015,24.9,19.5,32.8,48.6,0,28.397
8,1/9/2015,28.2,21.9,34,4.4,0,24.886
9,1/10/2015,26.76,22.1,34.2,0,1,37.937
10,1/11/2015,27.62,22.2,34.8,3.4,1,36.254
11,1/12/2015,25.96,21.4,35.4,0,0,25.743
12,1/13/2015,25.52,21.2,34.8,0.8,0,26.99
13,1/14/2015,25.96,21.3,34,1.6,0,31.825
14,1/15/2015,25.86,21.5,32.8,3,0,25.724
15,1/16/2015,26.5,22.3,32.7,2,0,29.938
16,1/17/2015,28.86,22,35.8,0,1,37.69
17,1/18/2015,28.26,23.4,35.6,0,1,30.524
18,1/19/2015,28.22,22.7,36.5,3.7,0,29.265
19,1/20/2015,27.68,23.3,35.6,0.6,0,35.127
20,1/21/2015,25.32,22.7,30.9,0,0,29.13
21,1/22/2015,21.74,19.2,26.1,31,0,25.795
22,1/23/2015,21.04,18.5,26.1,3.6,0,21.784
23,1/24/2015,23.12,19,29.4,13,1,28.348
24,1/25/2015,24.4,18.1,30,0,1,31.088
25,1/26/2015,22.4,18.9,28.7,20.8,0,21.52
26,1/27/2015,23.6,20.5,28.7,1.2,0,29.972
27,1/28/2015,25.68,20.1,29.9,4.9,0,22.603
28,1/29/2015,25,21.5,29.2,0,0,22.696
29,1/30/2015,22.8,20.9,26.9,0,0,26.845
30,1/31/2015,21.64,18.5,24.3,0.2,1,27.03
31,2/1/2015,24.16,20.6,28,0,1,32.057
32,2/2/2015,22.48,20.7,26.5,4.5,0,24.097
33,2/3/2015,23.16,18,31.1,1.6,0,31.655
34,2/4/2015,22.12,19.9,23.7,3.2,0,24.738
35,2/5/2015,20.28,19.1,22.9,5.6,0,19.95
36,2/6/2015,21.06,17.9,25.4,18.4,0,22.821
37,2/7/2015,21.86,17.3,28.7,16.7,1,28.893
38,2/8/2015,22.76,17.1,29.5,10.4,1,29.926
39,2/9/2015,24,19.3,30.7,0,0,24.062
40,2/10/2015,23.92,20.1,29,32.2,0,21.137
41,2/11/2015,25.38,19.9,30.4,2.2,0,26.805
42,2/12/2015,27.66,23.1,32.7,0,0,26.389
43,2/13/2015,25.54,22.5,32.1,0,0,24.219
44,2/14/2015,24.32,21.1,31.6,0,1,30.231
45,2/15/2015,22.9,20,27.6,17.4,1,24.968
46,2/16/2015,21.6,18.8,27.3,22.7,0,25.343
47,2/17/2015,22.76,19.7,28,85.3,0,17.399
48,2/18/2015,22.22,19.9,26.4,13.4,0,21.392
49,2/19/2015,23.92,19.9,28.5,2.4,0,22.922
50,2/20/2015,24.72,21.7,28.2,0,0,24.567
51,2/21/2015,25.2,21.4,31.1,0,1,30.943
52,2/22/2015,24.44,20.4,30.8,0,1,30.825
53,2/23/2015,25.4,20.7,31.4,0,0,25.692
54,2/24/2015,24.3,20.5,31.9,0,0,26.959
55,2/25/2015,22.24,19.3,29.3,2,0,25.366
56,2/26/2015,24.1,19.2,30.3,34.4,0,22.784
57,2/27/2015,24.64,20.4,31.4,0.6,0,26.241
58,2/28/2015,22.4,19.7,27.7,0,1,26.467
59,3/1/2015,21.26,18.2,26.3,3,1,27.475
60,3/2/2015,22.16,17.2,29.2,0,0,28.749
61,3/3/2015,23.16,19.5,29.5,0,0,24.146
62,3/4/2015,23.68,18.9,30.5,0,0,22.988
63,3/5/2015,24.42,19.7,31.6,0,0,30.3
64,3/6/2015,22.6,19.4,28.5,0,0,22.654
65,3/7/2015,21.92,19.4,26.6,38.2,1,29.09
66,3/8/2015,22.2,19.7,24.4,69.2,1,24.619
67,3/9/2015,21.36,19.7,23.3,77,0,20.016
68,3/10/2015,23.12,21.2,26.9,9.7,0,23.042
69,3/11/2015,22.88,20.1,28.1,9.5,0,22.933
70,3/12/2015,22.26,19.2,26.9,1.2,0,22.409
71,3/13/2015,22.34,20,26.6,0,0,21.281
72,3/14/2015,22.88,19.9,27.9,12.2,1,28.844
73,3/15/2015,22.08,19.1,26.8,0.3,1,32.872
74,3/16/2015,21.92,18.6,29.4,22.4,0,20.903
75,3/17/2015,21.92,18.6,25.6,24.2,0,26.275
76,3/18/2015,21.24,19.7,24.1,0,0,20.167
77,3/19/2015,21.78,19.2,27.1,3.2,0,23.628
78,3/20/2015,21.64,18.9,28.2,7.4,0,24.213
79,3/21/2015,20.88,18.5,25.3,14.7,1,28.631
80,3/22/2015,19.7,18.1,22.8,1.7,1,25.855
81,3/23/2015,19.88,17.1,23.3,19.2,0,21.406
82,3/24/2015,20.98,17.4,26.3,0,0,21.617
83,3/25/2015,21.56,17.1,27.9,0,0,22.401
84,3/26/2015,22.98,18.3,29.8,0,0,27.989
85,3/27/2015,23.32,18,30.8,0,0,24.974
86,3/28/2015,23.28,19.1,29.5,0,1,29.76
87,3/29/2015,22.14,20.5,26.6,0,1,26.116
88,3/30/2015,22.5,19,25.9,18.6,0,25.85
89,3/31/2015,23.14,20.1,29,1,0,24.925
90,4/1/2015,22.52,19.2,27.5,0,0,21.979
91,4/2/2015,20.92,18.2,26.2,0,0,22.116
92,4/3/2015,21.02,16.3,27.2,0,0,24.867
93,4/4/2015,22.36,17.9,29.4,0,1,33.45
94,4/5/2015,22.82,20.1,26.4,0,1,32.713
95,4/6/2015,21.36,18.5,27.7,0,0,22.356
96,4/7/2015,17.38,16.1,20,7.1,0,21.004
97,4/8/2015,18.68,14.7,24.3,0.4,0,23.362
98,4/9/2015,19.4,15.9,25.6,0,0,20.298
99,4/10/2015,20.46,17,25.5,0,0,24.862
100,4/11/2015,21.74,17.2,28.4,0,1,30.505
101,4/12/2015,19.92,16.8,25.7,0,1,25.07
102,4/13/2015,20.88,18.1,25.7,0,0,22.62
103,4/14/2015,21.7,18.4,28.8,0,0,22.001
104,4/15/2015,21.94,18.5,27.4,0,0,23.469
105,4/16/2015,21.26,18.6,26.7,25.4,0,21.735
106,4/17/2015,21.42,18.4,27,37.2,0,21.593
107,4/18/2015,23.36,18.2,29.3,0,1,33.822
108,4/19/2015,22.5,20.3,27.2,0,1,28.028
109,4/20/2015,24,19.3,29.2,20.2,0,24.304
110,4/21/2015,22.52,19.3,29,0,0,31.108
111,4/22/2015,20.06,18.9,21.6,2.4,0,19.113
112,4/23/2015,21.2,18.6,24.9,14.6,0,23.198
113,4/24/2015,22.52,19.3,28.1,0,0,24.388
114,4/25/2015,19.18,17.4,23.3,0,1,27.42
115,4/26/2015,19.04,16.1,23.7,0.8,1,30.479
116,4/27/2015,19.82,17.5,24.9,0,0,21.838
117,4/28/2015,20.26,17.2,26.9,0,0,20.812
118,4/29/2015,18.66,16.8,22.7,0,0,19.761
119,4/30/2015,16.22,14.7,18.7,0,0,20.452
120,5/1/2015,17.34,13.4,22,0,0,17.939
121,5/2/2015,19.26,14.7,26.4,0,1,25.272
122,5/3/2015,21.04,15.8,26.3,0,1,28.049
123,5/4/2015,19.96,17.9,22.3,1,0,25.317
124,5/5/2015,18.14,16.6,20.8,9.9,0,21.826
125,5/6/2015,17.76,15.9,20.4,0,0,20.68
126,5/7/2015,17.8,15.8,21.7,0,0,19.143
127,5/8/2015,16.14,13.9,19.2,0,0,18.146
128,5/9/2015,18.04,13.7,26.1,0,1,25.489
129,5/10/2015,16.94,13.7,21,0,1,23.537
130,5/11/2015,17.86,15.7,20.6,22.2,0,16.956
131,5/12/2015,17.12,14.2,21.7,0,0,19.052
132,5/13/2015,16.34,14.7,18.9,2.8,0,17.287
133,5/14/2015,16.72,14.2,21,0,0,20.3
134,5/15/2015,16.84,13.6,21.5,0,0,20.538
135,5/16/2015,17.18,13.2,22.3,0,1,23.702
136,5/17/2015,18.26,15.4,22.4,0,1,28.411
137,5/18/2015,18.6,16.6,21.3,0,0,21.073
138,5/19/2015,18.64,17,22.9,0,0,24.215
139,5/20/2015,18.74,15.9,23.3,0.2,0,19.525
140,5/21/2015,19.46,16.3,25,0,0,20.786
141,5/22/2015,20.26,16.3,25.4,0,0,20.429
142,5/23/2015,19.94,15.9,24.4,0,1,27.25
143,5/24/2015,21.8,17.9,26.3,0,1,31.387
144,5/25/2015,22.06,17.5,27.4,0,0,26.075
145,5/26/2015,21.28,19.7,24.8,0,0,22.162
146,5/27/2015,22.94,19.7,27.1,0,0,24.258
147,5/28/2015,18.56,16.8,23.2,1.8,0,24.683
148,5/29/2015,17.68,15.3,21.9,7.2,0,21.245
149,5/30/2015,17.52,13.1,22.9,0,1,25.937
150,5/31/2015,16.28,13.6,18.4,5.6,1,26.081
151,6/1/2015,16.28,15.2,18,2.2,0,16.228
152,6/2/2015,16.04,15,17.5,0.5,0,20.106
153,6/3/2015,17.94,15,21.7,0,0,21.055
154,6/4/2015,18.36,14.6,24.1,0,0,22.772
155,6/5/2015,18.32,14.1,25.3,0,0,25.142
156,6/6/2015,19.66,13.8,26.1,0,1,31.129
157,6/7/2015,20.62,15.9,26.2,0,1,30.498
158,6/8/2015,20.86,15.2,26.4,0,0,26.15
159,6/9/2015,20.32,15.2,26,0,0,21.327
160,6/10/2015,20.54,15.5,26.2,0,0,22.008
161,6/11/2015,22.72,17.5,26.9,0,0,24.615
162,6/12/2015,18.8,16.9,23.5,0,0,22.375
163,6/13/2015,21.1,15.5,27.4,0,1,29.607
164,6/14/2015,22.76,18.1,27.3,0,1,32.983
165,6/15/2015,16.02,13.1,23.4,0,0,19.119
166,6/16/2015,14.82,12.1,18.1,9,0,21.029
167,6/17/2015,19.8,13.9,25.1,0,0,23.898
168,6/18/2015,19.88,15.8,26.2,0,0,24.534
169,6/19/2015,14.66,13.2,17.7,3.8,0,16.748
170,6/20/2015,15.82,12.5,20.4,0,1,23.055
171,6/21/2015,17.32,12.6,24.6,0,1,28.857
172,6/22/2015,18.54,13.1,24.6,0,0,23.022
173,6/23/2015,19.02,14.4,25.5,0,0,27.146
174,6/24/2015,14.54,13.9,18,3.8,0,17.241
175,6/25/2015,14.72,12.1,17.4,1,0,19.463
176,6/26/2015,15.26,12,20.9,0,0,21.86
177,6/27/2015,15.34,10.6,20.8,0,1,24.227
178,6/28/2015,15.48,11.2,21.8,0,1,27.594
179,6/29/2015,17.2,11,24.4,0,0,24.863
180,6/30/2015,19.36,13.2,25.1,0,0,20.161
181,7/1/2015,17.78,16.2,20.5,0,0,20.824
182,7/2/2015,17.2,15.1,19.9,1.6,0,19.727
183,7/3/2015,17.52,15.6,18.4,17.8,0,14.94
184,7/4/2015,14.94,10.9,21,15.2,1,24.632
185,7/5/2015,12.9,11,14.5,4.4,1,21.294
186,7/6/2015,15.78,11.3,20.6,0,0,18.448
187,7/7/2015,16.8,13.3,20.2,0,0,21.237
188,7/8/2015,17.02,14.9,18.7,4.5,0,19.849
189,7/9/2015,17.54,15.3,20.4,0,0,20.74
190,7/10/2015,19.24,14,25.4,0,0,25.698
191,7/11/2015,17.46,16,19.8,0,1,26.691
192,7/12/2015,20.32,14,27.4,3,1,33.298
193,7/13/2015,22.06,16.7,28.7,0,0,25.64
194,7/14/2015,23.3,18.4,29.3,0,0,23.937
195,7/15/2015,20.18,17.2,27.6,0,0,28.742
196,7/16/2015,19.88,16.2,25.8,0,0,21.748
197,7/17/2015,19.14,15.8,24.3,0,0,22.032
198,7/18/2015,20.2,18.2,23.8,0,1,24.827
199,7/19/2015,19.98,14.6,25.9,0,1,32.473
200,7/20/2015,20.56,14.9,25.1,0,0,20.62
201,7/21/2015,16.72,14,21.4,0,0,21.825
202,7/22/2015,14.52,12.8,16.1,0,0,14.343
203,7/23/2015,17.02,13.6,20.6,0,0,19.029
204,7/24/2015,18.46,14.3,25.8,0,0,21.104
205,7/25/2015,15.9,14.9,17.9,16.6,1,20.738
206,7/26/2015,16.82,13.6,22.9,2,1,25.233
207,7/27/2015,16.6,11,24.2,0,0,18.975
208,7/28/2015,16.46,11.6,24.5,0,0,19.64
209,7/29/2015,16.2,11,23.8,0,0,22.522
210,7/30/2015,16.76,11.3,26.7,0,0,24.227
211,7/31/2015,19.24,12.8,26.6,0,0,24.726
212,8/1/2015,19.78,14.3,26.4,0,1,32.467
213,8/2/2015,20.1,13.8,26.3,0,1,31.663
214,8/3/2015,21.16,14.9,26.9,0,0,25.867
215,8/4/2015,21.04,15.2,27.4,0,0,27.724
216,8/5/2015,20.96,15,27.2,0,0,22.039
217,8/6/2015,21.06,16.3,27.7,0,0,26.127
218,8/7/2015,22.08,15.5,28.9,0,0,26.58
219,8/8/2015,21.16,16,27.8,0,1,31.31
220,8/9/2015,19.62,15.6,26.2,0,1,33.517
221,8/10/2015,21.2,15.6,28,0,0,23.181
222,8/11/2015,19.6,15.2,27.2,0,0,24.183
223,8/12/2015,20.12,14.1,26.6,0,0,24.594
224,8/13/2015,20.42,14.1,28.1,0,0,22.61
225,8/14/2015,20.86,15.3,27.6,0,0,25.479
226,8/15/2015,21.44,15.6,27.8,0,1,29.621
227,8/16/2015,20.56,16.2,27.2,0,1,26.272
228,8/17/2015,21.58,15.3,28,0,0,22.541
229,8/18/2015,21.3,16.7,26.5,0,0,23.07
230,8/19/2015,20.74,17.3,28.3,0,0,26.021
231,8/20/2015,16.2,14.8,19.6,0,0,17.655
232,8/21/2015,16.84,13.2,22.1,1,0,23.243
233,8/22/2015,18.08,14.1,26.2,0,1,30.177
234,8/23/2015,20.22,13.5,30,0,1,27.518
235,8/24/2015,16.98,15.1,20.5,0,0,23.21
236,8/25/2015,16.98,14.3,20.5,2.4,0,21.092
237,8/26/2015,18.92,14.8,24,0.6,0,23.357
238,8/27/2015,16.1,13.8,19.8,2.6,0,17.888
239,8/28/2015,16.28,12.8,22.1,25,0,22.217
240,8/29/2015,18.46,12.2,26.7,0,1,31.681
241,8/30/2015,22.52,14.3,32,0,1,31.833
242,8/31/2015,24.54,16.6,32.2,0,0,28.441
243,9/1/2015,21.44,17.2,30.7,0,0,22.389
244,9/2/2015,16.1,14.1,20.2,0.4,0,20.681
245,9/3/2015,19.3,14.8,25,0,0,24.222
246,9/4/2015,16.66,15.2,19.3,0,0,19.345
247,9/5/2015,16.12,14.4,18.5,2.4,1,21.827
248,9/6/2015,16.48,13.3,19.9,0,1,23.566
249,9/7/2015,18.72,13.8,24.4,0.1,0,20.227
250,9/8/2015,17.08,15.8,19.2,23.6,0,17.075
251,9/9/2015,18.82,15.8,22.9,58,0,16.977
252,9/10/2015,18.92,13.9,25.6,0,0,21.525
253,9/11/2015,16.88,14.1,21.8,31.8,0,21.454
254,9/12/2015,14,12.8,15.6,27.6,1,21.814
255,9/13/2015,14.18,12.5,16.1,0,1,21.252
256,9/14/2015,16.46,13,22.5,0.2,0,20.464
257,9/15/2015,21.18,14.4,30.1,0,0,30.775
258,9/16/2015,25.24,17.2,32.6,0,0,25.343
259,9/17/2015,27.26,20.4,33,0,0,33.93
260,9/18/2015,28.06,21.3,34.5,0,0,26.311
261,9/19/2015,28,21.1,35.5,0,1,31.836
262,9/20/2015,23.6,19.2,33.3,0,1,34.695
263,9/21/2015,24.72,17.4,32.8,0,0,29.829
264,9/22/2015,25.7,18.9,33.3,0,0,26.362
265,9/23/2015,26.14,18.3,34,0,0,32.589
266,9/24/2015,28.3,20.5,35.3,0,0,30.345
267,9/25/2015,23.24,19.2,30.3,0,0,29.411
268,9/26/2015,20.58,18.2,24.9,28.6,1,29.637
269,9/27/2015,22.3,18.2,30.6,1.8,1,32.184
270,9/28/2015,21.22,17.5,23.6,27.2,0,17.731
271,9/29/2015,21.8,17.5,27.1,0,0,24.114
272,9/30/2015,21.52,18.6,27.6,0,0,28.034
273,10/1/2015,20.96,17.6,26.4,7.6,0,22.664
274,10/2/2015,24.74,19.3,32.7,0,0,27.488
275,10/3/2015,20.28,16.1,25,25,1,24.876
276,10/4/2015,18.6,17.1,21.3,0.2,1,24.862
277,10/5/2015,17.36,14.8,22.4,0,0,24.679
278,10/6/2015,18.26,14.6,24.7,0,0,22.304
279,10/7/2015,24.5,15.9,32.6,0,0,30.329
280,10/8/2015,26.56,19.3,34,0,0,33.182
281,10/9/2015,24.52,19.8,29,0,0,23.849
282,10/10/2015,23.06,19.6,28,0.3,1,33.33
283,10/11/2015,22.48,19.6,30,0,1,34.496
284,10/12/2015,22.76,19,29.6,0,0,26.249
285,10/13/2015,21.4,18.1,27.6,2.4,0,26.523
286,10/14/2015,23.62,18.2,28.5,0,0,26.793
287,10/15/2015,28.12,18.9,35.8,0,0,35.861
288,10/16/2015,26.24,21.3,35.7,0,0,27.387
289,10/17/2015,21.22,17.3,29.2,0,1,32.666
290,10/18/2015,16.76,15.5,19.2,0.1,1,22.199
291,10/19/2015,19.86,15.5,27.2,0,0,24
292,10/20/2015,26.3,17.2,35.3,0,0,27.871
293,10/21/2015,24.62,21.3,32,0,0,31.139
294,10/22/2015,19.9,17.7,22.8,14.6,0,23.065
295,10/23/2015,20.5,17.6,27.3,13.4,0,26.594
296,10/24/2015,17.94,16.2,21.2,0,1,27.657
297,10/25/2015,17.64,15.7,19.2,0,1,26.594
298,10/26/2015,20.86,16,28.5,28.4,0,28.084
299,10/27/2015,22,19.1,28.4,0.1,0,27.582
300,10/28/2015,20.42,18.6,23.9,0,0,24.862
301,10/29/2015,20.56,18.2,24.8,0,0,22.634
302,10/30/2015,23.86,19.1,31.2,0,0,31.649
303,10/31/2015,23.18,18.2,29.3,0,1,35.781
304,11/1/2015,20.22,18.7,22.4,27.2,1,24.429
305,11/2/2015,21.82,18.3,27.2,39.6,0,20.648
306,11/3/2015,21.86,19.5,25.6,3.4,0,22.741
307,11/4/2015,21.52,18.6,27.4,6.8,0,21.479
308,11/5/2015,21.8,18.2,24.8,39.3,0,23.134
309,11/6/2015,19.76,18,22.8,0,0,20.575
310,11/7/2015,18.3,16.8,20,1.2,1,24.33
311,11/8/2015,20.24,17.4,23.9,0.6,1,28.61
312,11/9/2015,22.98,18.7,29.5,4.4,0,28.456
313,11/10/2015,23.72,19.4,31.8,10.4,0,27.964
314,11/11/2015,26.2,19.8,32.7,0,0,29.569
315,11/12/2015,23.78,20.8,31.8,0,0,29.267
316,11/13/2015,22.78,19.4,29.6,0,0,28.647
317,11/14/2015,25.06,19.5,30.4,16.4,1,26.836
318,11/15/2015,23.06,19.8,29.7,8,1,29.386
319,11/16/2015,21.16,19.4,24.9,0,0,24.609
320,11/17/2015,21.76,17.7,29.7,0,0,26.964
321,11/18/2015,25.5,17.6,30.5,14.1,0,23.614
322,11/19/2015,26.16,23.3,30.4,0,0,22.96
323,11/20/2015,23.28,19.6,27,6.8,0,20.332
324,11/21/2015,19.44,17.2,24.4,7.2,1,30.392
325,11/22/2015,22.26,17.1,28.8,0,1,31.933
326,11/23/2015,20.8,19.6,23.6,13.6,0,21.662
327,11/24/2015,21.36,19.3,22.6,7,0,21.689
328,11/25/2015,21.26,19.3,24.8,0.4,0,25.119
329,11/26/2015,22.28,19,27.4,0,0,25.285
330,11/27/2015,22.28,17.6,28.4,0,0,28.979
331,11/28/2015,23.7,18.7,29.8,0,1,34.382
332,11/29/2015,22.38,20.5,26,17.4,1,30.617
333,11/30/2015,19.1,16.7,23.3,23.4,0,20.238
334,12/1/2015,20.1,16.4,25.8,0,0,24.529
335,12/2/2015,22.1,18.2,29.4,0,0,30.471
336,12/3/2015,22.44,20.2,26.1,0,0,28.405
337,12/4/2015,22.76,19,29.1,0,0,29.513
338,12/5/2015,24.8,19.5,30.6,0.1,1,32.451
339,12/6/2015,23.12,20.6,28,0.1,1,32.78
340,12/7/2015,20.04,18,23.9,47.8,0,23.375
341,12/8/2015,21.7,18,28,0,0,27.713
342,12/9/2015,23.96,19.6,27.9,0,0,27.137
343,12/10/2015,24,22.2,27.7,0,0,22.933
344,12/11/2015,24.04,20.7,30.3,0,0,30.74
345,12/12/2015,23.92,20.6,30.8,0,1,29.579
346,12/13/2015,24.54,19.3,31,12.2,1,29.188
347,12/14/2015,26.28,21.1,32.5,2,0,28.131
348,12/15/2015,25.66,20.6,32.8,4,0,28.617
349,12/16/2015,22.04,20.7,24.8,1.5,0,21.062
350,12/17/2015,23.32,18.9,28.7,0,0,24.337
351,12/18/2015,26.42,19.6,33.5,0.1,0,27.042
352,12/19/2015,23.74,19.8,31.3,1.3,1,32.536
353,12/20/2015,22.84,19.6,29,8.4,1,30.127
354,12/21/2015,23.12,19.6,29.1,27.2,0,24.834
355,12/22/2015,24.6,19.6,32.4,43,0,26.828
356,12/23/2015,27.46,22.1,32.4,3,0,26.468
357,12/24/2015,24.72,20.5,31.5,3.4,0,31.572
358,12/25/2015,23.58,17.8,31,39,0,26.308
359,12/26/2015,23.34,17.8,29.8,94.8,1,21.955
360,12/27/2015,24,21.1,28.2,13.6,1,32.307
361,12/28/2015,22.64,21.1,26.7,0,0,26.095
362,12/29/2015,21.68,20.3,24.1,10.3,0,22.309
363,12/30/2015,21.38,19.3,22.4,6.3,0,20.467
364,12/31/2015,24.76,20.2,29,0,0,22.446
